Id,Identifier,Title,Screenshot,Teaser,Slug,Free,Video length
17,227,"TDDing an E-Commerce Site With Phoenix, Part 6 - Completing an Order
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/17/227_TDDing_an_ECommerce_Site_With_Phoenix_Part_6_Completing_an_Order_Screenshot.png,"Introducing an Order model, and a Register module that encapsulates the logic around turning a Cart into an Order.  Also, a brief introduction to Ecto transactions.",tdding-an-e-commerce-site-with-phoenix-part-6-completing-an-order,false,458
16,226,"TDDing an E-Commerce Site With Phoenix, Part 5 - Updating Carts
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/16/226_TDDing_an_ECommerce_Site_With_Phoenix_Part_5_Updating_Carts_Screenshot.png,"Adding support for removing and updating LineItem quantities.  As a bonus, introducing vim-test, which makes ExUnit testing in vim far more pleasant.",tdding-an-e-commerce-site-with-phoenix-part-5-updating-carts,false,484
2,225,"TDDing an E-Commerce Site with Phoenix, Part 4 - Multiple Carts
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/2/225_TDDing_an_ECommerce_Site_With_Phoenix_Part_4_Multiple_Carts_Screenshot.png,"Introducing an actual Cart model.  Involves multiple browser sessions with Hound, autogenerating UUID fields in Ecto models, and Elixir&apos;s multi-alias feature that was introduced in 1.2.",tdding-an-e-commerce-site-with-phoenix-part-4-multiple-carts,false,289
1,224,"TDDing an E-Commerce Site With Phoenix, Part 3 - Cart
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/1/224_TDDing_an_ECommerce_Site_With_Phoenix_Part_3_Cart_Screenshot.png,"Test-Driving a basic cart implementation, which requires adding a LineItem model.  Bonus: Josh fixes bugs on the fly and gets really irritated!",tdding-an-e-commerce-site-with-phoenix-part-3-cart,false,960
24,223,"TDDing an E-Commerce Site With Phoenix, Part 2 - Images
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/24/223_TDDing_an_ECommerce_Site_With_Phoenix_Part_2_Images_Screenshot.png,"Using Arc to store product images on S3, make thumbnails, and render them in the templates.",tdding-an-e-commerce-site-with-phoenix-part-2-images,false,463
23,222,"TDDing an E-Commerce Site With Phoenix, Part 1 - Setup
",https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/23/222_TDDing_an_ECommerce_Site_With_Phoenix_Part_1_Setup_Screenshot.png,"Kicking off a new project to test-drive a Phoenix app, using Hound for an acceptance test layer.",tdding-an-e-commerce-site-with-phoenix-part-1-setup,false,579
254,221,`erl_festival`,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/254/221_erl_festival_Screenshot.png,Using the festival speech synthesis tool from Elixir.,erl_festival,false,81
253,220,Bureaucrat API Documentation,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/253/220_Bureaucrat_API_Documentation_Screenshot.png,A tool to generate end-user API Documentation from your existing API Controller tests.,bureaucrat-api-documentation,false,172
252,219,User Authentication with Ueberauth,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/252/219_User_Authentication_With_Ueberauth_Screenshot.png,"A library for flexible user authentication, whether from an OAuth provider, a local database, or something else.",user-authentication-with-ueberauth,false,585
251,218,CSV,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/251/218_CSV_Screenshot.png,A look at an unbelievably well-built CSV encoding and decoding library that deals exclusively in Streams.,csv,false,308
250,217,Internationalizing a Phoenix Application with Gettext,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/250/217_Internationalizing_a_Phoenix_Application_with_Gettext_Screenshot.png,An overview of Phoenix's new Gettext support for allowing easy string translation in your app for various locales.,internationalizing-a-phoenix-application-with-gettext,false,262
249,216,Code Linting with Credo,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/249/216_Code_Linting_with_Credo_Screenshot.png,A code linting tool focused on giving gentle suggestions and providing explanations for the issues it uncovers.,code-linting-with-credo,false,107
248,215,Tracking Performance Metrics with Beaker,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/248/215_Beaker_Screenshot.png,"A lightweight tool that gives you an instant performance monitoring dashboard for Gauges, Counters, and TimeSeries.",tracking-performance-metrics-with-beaker,false,375
247,214,Visualixir,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/247/214_Visualixir_Screenshot.png,A tool to visualize your application and trace messages between processes in the browser.,visualixir,false,182
246,213,Stripe,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/246/213_Stripe_Screenshot.png,Using Rob Conery's `stripity_stripe` library to easily work with Stripe's API.,stripe,false,446
245,212,Streaming Structured Data From Webpages With Stream.resource,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/245/212_Streaming_Structured_Data_From_Webpages_With_Stream.resource_Screenshot.png,Combining Floki and Stream.resource to turn a static HTML site into a paginating stream of structured data.,streaming-structured-data-from-webpages-with-stream-resource,false,523
244,211,Parsing and Searching HTML With Floki,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/244/211_Parsing_and_Searching_HTML_With_Floki_Screenshot.png,A really nice library for parsing HTML and finding elements in it using CSS selectors.,parsing-and-searching-html-with-floki,false,825
243,210,Visualizing Another Node With `ex_top`,https://d25pnt1rrtzbdm.cloudfront.net/uploads/drip/screenshot/243/210_Visualizing_Another_Node_With_ex_top_Screenshot.png,"A quick demonstration of the `ex_top` tool for visualizing a remote Erlang node, as well as a bit of code spelunking and a look at the use of the `rpc` module to do cool stuff.",visualizing-another-node-with-ex_top,false,378
